x_m,y_m,A_Wb_per_m,Bx_T,By_T,weight,region_id,r_m
3.035448091765114570e-02,1.476638794031837933e-02,7.979269744806953731e-04,-9.222918451948701154e-05,1.881974694136499327e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.375560286210316924e-02
1.228892093555401625e-02,-1.883854649987037194e-02,7.999171910662782829e-04,1.160074102566505398e-04,7.717757955614428303e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.249240787439344205e-02
2.598803675864466700e-02,9.461157741416476377e-03,7.991039553909665442e-04,-5.638587413125058820e-05,1.643109606428301258e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.765667298097570018e-02
-7.274014987808137024e-03,3.735154117719753641e-02,7.969574945284950244e-04,-2.352620142419087844e-04,-4.307859521247266253e-05,1.699779249448123697e-01,1.000000000000000000e+00,3.805323800092103026e-02
-1.060209216107606614e-02,1.815289506266503858e-02,8.001181653424869339e-04,-1.120962363320478363e-04,-6.538647338571570490e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.102217774989259547e-02
2.152710046646563388e-02,4.096485879064681868e-02,7.947784577896693445e-04,-2.577231687897742164e-04,1.340055147873126331e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.627672968383719776e-02
-1.701610685782526181e-02,4.008429782335094782e-02,7.955487190894563630e-04,-2.518212108378932597e-04,-1.067536733748906502e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.354651334593879347e-02
-1.946553526630356900e-03,-4.236588626767183452e-02,7.958555250116043298e-04,2.668613253729725616e-04,-1.268578336191246523e-05,1.699779249448123697e-01,1.000000000000000000e+00,4.241058110751775440e-02
3.272712642337670397e-02,3.027836770051835127e-03,7.981135655656999926e-04,-2.013895151656844095e-05,2.020589499188114391e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.286689214753593657e-02
1.845882963843304553e-02,-3.503631987146216265e-02,7.965798565216206150e-04,2.201393061388138444e-04,1.187812398988092732e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.960141540091854928e-02
2.371368295074145066e-02,-2.996508239924517911e-02,7.969196114520890389e-04,1.917832218840836468e-04,1.483539717639655140e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.821315116922234523e-02
-2.800643760004944624e-02,2.898716883108087838e-02,7.964030126992936547e-04,-1.798711567170255461e-04,-1.781807536547613791e-04,1.699779249448123697e-01,1.000000000000000000e+00,4.030653177695955186e-02
8.271299475834837864e-03,1.194556017233085361e-02,8.008435235764142963e-04,-7.780627984570458611e-05,5.264516146695464270e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.452965253712981339e-02
-2.598354051176052573e-02,-1.908858632534697966e-02,7.982406854486510462e-04,1.218769649584808604e-04,-1.636730922453754852e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.224156487248291264e-02
7.449666294309112424e-03,6.966915153650568571e-03,8.011793246404340634e-04,-4.432375461535714901e-05,4.740903276802146369e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.019977620611017127e-02
-2.322662135512307963e-02,2.637235500551738526e-02,7.976268971072566008e-04,-1.672590954540585629e-04,-1.481634576970608996e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.514224022613381127e-02
2.774274333822000782e-02,-7.415741561139555828e-03,7.989160676616880938e-04,4.918650417469120603e-05,1.729363402624605134e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.871677263955619425e-02
1.900045071626988921e-02,-5.416130941144915159e-04,8.003718976354020145e-04,6.634854995874668354e-06,1.201791787013987739e-04,1.699779249448123697e-01,1.000000000000000000e+00,1.900816856420200346e-02
2.225909944168802043e-03,-1.592333960659099781e-02,8.006940307618807965e-04,9.945256112658980969e-05,1.349935542353100713e-05,1.699779249448123697e-01,1.000000000000000000e+00,1.607816591861083860e-02
-1.432488107595530739e-02,3.555150084882518352e-02,7.968908679487694650e-04,-2.239735490028314010e-04,-8.901992384844497914e-05,1.699779249448123697e-01,1.000000000000000000e+00,3.832898942633734818e-02
-7.883177789876327432e-03,-1.908763812721249106e-02,8.001665054600266402e-04,1.184820458325777995e-04,-5.041180924217567309e-05,1.699779249448123697e-01,1.000000000000000000e+00,2.065145082899057238e-02
-1.329916494556215682e-02,-4.621614985795251263e-02,7.942407584810324151e-04,2.878699887977289760e-04,-8.545143883138188283e-05,6.799116997792494788e-01,1.000000000000000000e+00,4.809158238134812746e-02
-2.903494801526188343e-02,2.469057802081651640e-02,7.969430248322557616e-04,-1.550523941929412067e-04,-1.797768761918906429e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.811368322861210384e-02
-1.864377112598574956e-02,-2.279439206337718557e-02,7.987824541401450287e-04,1.407934872976772584e-04,-1.186444429938329797e-04,1.699779249448123697e-01,1.000000000000000000e+00,2.944782693743449795e-02
3.834823549744663385e-02,2.588737710915545859e-03,7.968659441823152398e-04,-1.947456905887025357e-05,2.400402210366536467e-04,1.699779249448123697e-01,1.000000000000000000e+00,3.843551389930336543e-02
