r_m,r_cm,A_Wb_per_m,Btheta_T,region_id,weight
1.010000000000000064e-01,1.010000000000000142e+01,6.265840305997394475e-04,1.555253416720107362e-01,3.000000000000000000e+00,1.800000000000000000e+01
1.015000000000000069e-01,1.015000000000000036e+01,5.490138416222390197e-04,1.547591976651851720e-01,3.000000000000000000e+00,1.800000000000000000e+01
1.020000000000000073e-01,1.020000000000000107e+01,4.718248329345541480e-04,1.540005650101485546e-01,3.000000000000000000e+00,6.000000000000000000e+00
1.025000000000000078e-01,1.025000000000000000e+01,3.950132766120903233e-04,1.532493337820444446e-01,3.000000000000000000e+00,6.000000000000000000e+00
1.030000000000000082e-01,1.030000000000000071e+01,3.185754991525095595e-04,1.525053961905435962e-01,3.000000000000000000e+00,6.000000000000000000e+00
1.035000000000000087e-01,1.035000000000000142e+01,2.425078804215465814e-04,1.517686465282826747e-01,3.000000000000000000e+00,6.000000000000000000e+00
1.040000000000000091e-01,1.040000000000000036e+01,1.668068526242267571e-04,1.510389811207914212e-01,3.000000000000000000e+00,6.000000000000000000e+00
1.044999999999999957e-01,1.044999999999999929e+01,9.146889930075709815e-05,1.503162982778575851e-01,3.000000000000000000e+00,6.000000000000000000e+00
1.049999999999999961e-01,1.050000000000000000e+01,1.649055434637112697e-05,7.505296710767779544e-02,3.000000000000000000e+00,6.000000000000000000e+00
1.054999999999999966e-01,1.054999999999999893e+01,1.641593219307922979e-05,1.488914831639711342e-04,4.000000000000000000e+00,6.000000000000000000e+00
1.059999999999999970e-01,1.059999999999999964e+01,1.634166286320715570e-05,1.481891570153405491e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.064999999999999974e-01,1.065000000000000036e+01,1.626774303606388911e-05,1.474934255879627447e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.069999999999999979e-01,1.069999999999999929e+01,1.619416943761919282e-05,1.468041964304514122e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.089999999999999997e-01,1.090000000000000036e+01,1.590327343518131687e-05,1.441105128451185594e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.130000000000000032e-01,1.130000000000000071e+01,1.533716039446649619e-05,1.390092048988024031e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.170000000000000068e-01,1.170000000000000107e+01,1.479074222196433882e-05,1.342567092843421938e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.209999999999999964e-01,1.209999999999999964e+01,1.426269451155491832e-05,1.298184324207948056e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.250000000000000000e-01,1.250000000000000000e+01,1.375182211468971749e-05,1.256642088003529520e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.290000000000000036e-01,1.290000000000000036e+01,1.325704284888483251e-05,1.217676144486527941e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.330000000000000071e-01,1.330000000000000071e+01,1.277737369470645377e-05,1.181054042751817262e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.370000000000000107e-01,1.370000000000000107e+01,1.231191903860505813e-05,1.146570479926137454e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.410000000000000142e-01,1.410000000000000142e+01,1.185986060817303781e-05,1.114043450304917052e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.449999999999999900e-01,1.449999999999999822e+01,1.142044881564305439e-05,1.083311031888333496e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.489999999999999936e-01,1.489999999999999858e+01,1.099299527960346434e-05,1.054228690532940850e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.529999999999999971e-01,1.529999999999999893e+01,1.057686633758221029e-05,1.026667006990204085e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.570000000000000007e-01,1.569999999999999929e+01,1.017147739601068754e-05,1.000509751410688376e-04,4.000000000000000000e+00,1.000000000000000000e+00
1.610000000000000042e-01,1.610000000000000142e+01,9.776287991120814909e-06,9.756522448843361190e-05,4.000000000000000000e+00,1.000000000000000000e+00
1.650000000000000078e-01,1.650000000000000000e+01,9.390797456058600312e-06,9.519999593056602488e-05,4.000000000000000000e+00,1.000000000000000000e+00
1.690000000000000113e-01,1.690000000000000213e+01,9.014541107062601643e-06,9.294673160786188549e-05,4.000000000000000000e+00,1.000000000000000000e+00
1.730000000000000149e-01,1.730000000000000071e+01,8.647086875831017785e-06,9.079766514777449691e-05,4.000000000000000000e+00,1.000000000000000000e+00
1.769999999999999907e-01,1.769999999999999929e+01,8.288032326866360381e-06,8.874573222999390134e-05,4.000000000000000000e+00,1.000000000000000000e+00
1.809999999999999942e-01,1.809999999999999787e+01,7.937002008164790331e-06,8.678449301082937363e-05,4.000000000000000000e+00,1.000000000000000000e+00
1.849999999999999978e-01,1.850000000000000000e+01,7.593645091519241156e-06,8.490806461133605090e-05,4.000000000000000000e+00,1.000000000000000000e+00
1.890000000000000013e-01,1.889999999999999858e+01,7.257633265257334166e-06,8.311106217859576587e-05,4.000000000000000000e+00,1.000000000000000000e+00
1.930000000000000049e-01,1.930000000000000071e+01,6.928658847684793684e-06,8.138854727633747579e-05,4.000000000000000000e+00,1.000000000000000000e+00
1.970000000000000084e-01,1.969999999999999929e+01,6.606433094064370221e-06,7.973598256288776370e-05,4.000000000000000000e+00,1.000000000000000000e+00
2.010000000000000120e-01,2.010000000000000142e+01,6.290684673783388966e-06,7.814919188090103366e-05,4.000000000000000000e+00,1.000000000000000000e+00
2.050000000000000155e-01,2.050000000000000000e+01,5.981158297584140424e-06,7.662432501958193055e-05,4.000000000000000000e+00,1.000000000000000000e+00
2.089999999999999913e-01,2.089999999999999858e+01,5.677613477454646777e-06,7.515782652328571137e-05,4.000000000000000000e+00,1.000000000000000000e+00
2.129999999999999949e-01,2.130000000000000071e+01,5.379823404087176122e-06,7.374640801476755637e-05,4.000000000000000000e+00,1.000000000000000000e+00
2.169999999999999984e-01,2.169999999999999929e+01,5.087573928778045161e-06,7.238702357944455938e-05,4.000000000000000000e+00,1.000000000000000000e+00
2.210000000000000020e-01,2.210000000000000142e+01,4.800662638320429853e-06,7.107684782289882251e-05,4.000000000000000000e+00,1.000000000000000000e+00
2.250000000000000056e-01,2.250000000000000000e+01,4.518898012880294277e-06,6.981325626894853008e-05,4.000000000000000000e+00,1.000000000000000000e+00
